EventID,Year,EventName,Country,Location,EventDate,EventFormat,Completed
1,2025,Pre-Season Testing,Bahrain,Sakhir,2025-02-28,testing,True
2,2025,Australian Grand Prix,Australia,Melbourne,2025-03-16,conventional,True
3,2025,Chinese Grand Prix,China,Shanghai,2025-03-23,sprint_qualifying,True
4,2025,Japanese Grand Prix,Japan,Suzuka,2025-04-06,conventional,True
5,2025,Bahrain Grand Prix,Bahrain,Sakhir,2025-04-13,conventional,True
6,2025,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2025-04-20,conventional,True
7,2025,Miami Grand Prix,United States,Miami,2025-05-04,sprint_qualifying,True
8,2025,Emilia Romagna Grand Prix,Italy,Imola,2025-05-18,conventional,True
9,2025,Monaco Grand Prix,Monaco,Monaco,2025-05-25,conventional,True
10,2025,Spanish Grand Prix,Spain,Barcelona,2025-06-01,conventional,True
11,2025,Canadian Grand Prix,Canada,Montréal,2025-06-15,conventional,True
12,2025,Austrian Grand Prix,Austria,Spielberg,2025-06-29,conventional,True
13,2025,British Grand Prix,United Kingdom,Silverstone,2025-07-06,conventional,True
14,2025,Belgian Grand Prix,Belgium,Spa-Francorchamps,2025-07-27,sprint_qualifying,True
15,2025,Hungarian Grand Prix,Hungary,Budapest,2025-08-03,conventional,True
16,2025,Dutch Grand Prix,Netherlands,Zandvoort,2025-08-31,conventional,False
17,2025,Italian Grand Prix,Italy,Monza,2025-09-07,conventional,False
18,2025,Azerbaijan Grand Prix,Azerbaijan,Baku,2025-09-21,conventional,False
19,2025,Singapore Grand Prix,Singapore,Marina Bay,2025-10-05,conventional,False
20,2025,United States Grand Prix,United States,Austin,2025-10-19,sprint_qualifying,False
21,2025,Mexico City Grand Prix,Mexico,Mexico City,2025-10-26,conventional,False
22,2025,São Paulo Grand Prix,Brazil,São Paulo,2025-11-09,sprint_qualifying,False
23,2025,Las Vegas Grand Prix,United States,Las Vegas,2025-11-22,conventional,False
24,2025,Qatar Grand Prix,Qatar,Lusail,2025-11-30,sprint_qualifying,False
25,2025,Abu Dhabi Grand Prix,United Arab Emirates,Yas Island,2025-12-07,conventional,False
