DriverId,Driver,LapId,LapNumber,LapTime,LapTime,Sector1Time,Sector2Time,Sector3Time,Position,Stint,Compound,TyreLife,PitInTime,PitOutTime,TrackStatus
17,VER,1,1.0,0 days 00:01:59.392000,0 days 00:01:59.392000,,0 days 00:00:20.705000,0 days 00:00:55.250000,2.0,1.0,INTERMEDIATE,1.0,,,124
17,VER,2,2.0,,,0 days 00:00:58.141000,0 days 00:00:37.976000,0 days 00:01:13.205000,2.0,1.0,INTERMEDIATE,2.0,0 days 01:15:38.205000,,4
17,VER,3,3.0,,,0 days 00:00:56.230000,0 days 00:00:33.683000,0 days 00:01:12.232000,2.0,2.0,INTERMEDIATE,3.0,0 days 01:18:20.223000,0 days 01:15:51.658000,4
17,VER,4,4.0,,,0 days 00:00:54.351000,0 days 00:00:32.712000,0 days 00:01:08.712000,2.0,3.0,INTERMEDIATE,4.0,0 days 01:20:56.543000,0 days 01:18:34.029000,4
17,VER,5,5.0,0 days 00:02:23.609000,0 days 00:02:23.609000,0 days 00:00:53.513000,0 days 00:00:32.627000,0 days 00:00:57.469000,2.0,4.0,INTERMEDIATE,5.0,,0 days 01:21:09.534000,4
17,VER,6,6.0,0 days 00:02:19.654000,0 days 00:02:19.654000,0 days 00:00:47.887000,0 days 00:00:33.228000,0 days 00:00:58.539000,2.0,4.0,INTERMEDIATE,6.0,,,4
17,VER,7,7.0,0 days 00:02:16.447000,0 days 00:02:16.447000,0 days 00:00:45.898000,0 days 00:00:29.735000,0 days 00:01:00.814000,2.0,4.0,INTERMEDIATE,7.0,,,41
17,VER,8,8.0,0 days 00:01:36.830000,0 days 00:01:36.830000,0 days 00:00:35.249000,0 days 00:00:20.145000,0 days 00:00:41.436000,2.0,4.0,INTERMEDIATE,8.0,,,1
17,VER,9,9.0,0 days 00:01:34.315000,0 days 00:01:34.315000,0 days 00:00:33.850000,0 days 00:00:19.608000,0 days 00:00:40.857000,2.0,4.0,INTERMEDIATE,9.0,,,1
17,VER,10,10.0,0 days 00:01:32.650000,0 days 00:01:32.650000,0 days 00:00:33.117000,0 days 00:00:19.414000,0 days 00:00:40.119000,2.0,4.0,INTERMEDIATE,10.0,,,1
17,VER,11,11.0,0 days 00:01:32.453000,0 days 00:01:32.453000,0 days 00:00:33.017000,0 days 00:00:19.392000,0 days 00:00:40.044000,2.0,4.0,INTERMEDIATE,11.0,,,1
17,VER,12,12.0,0 days 00:01:31.591000,0 days 00:01:31.591000,0 days 00:00:32.767000,0 days 00:00:19.302000,0 days 00:00:39.522000,2.0,4.0,INTERMEDIATE,12.0,,,1
17,VER,13,13.0,0 days 00:01:31.271000,0 days 00:01:31.271000,0 days 00:00:32.572000,0 days 00:00:19.292000,0 days 00:00:39.407000,2.0,4.0,INTERMEDIATE,13.0,,,1
17,VER,14,14.0,0 days 00:01:30.639000,0 days 00:01:30.639000,0 days 00:00:32.137000,0 days 00:00:19.124000,0 days 00:00:39.378000,2.0,4.0,INTERMEDIATE,14.0,,,1
17,VER,15,15.0,0 days 00:01:30.328000,0 days 00:01:30.328000,0 days 00:00:31.945000,0 days 00:00:18.879000,0 days 00:00:39.504000,2.0,4.0,INTERMEDIATE,15.0,,,1
